Company Name,Matched Name,Financial Year,Report End Year,Source Type,Source URL,Download Status,GitHub Release Asset,Notes
Aavas Financiers Ltd.,AAVAS Financiers Ltd,FY2012-13,2013,Official company,https://www.aavas.in/img/pdf/annual-report-2012-13.pdf,DOWNLOADED,Aavas_Financiers_Ltd.zip,
Aavas Financiers Ltd.,AAVAS Financiers Ltd,FY2013-14,2014,Official company,https://www.aavas.in/img/pdf/annual-report-2013-14.pdf,DOWNLOADED,Aavas_Financiers_Ltd.zip,
Aavas Financiers Ltd.,AAVAS Financiers Ltd,FY2014-15,2015,Official company,https://www.aavas.in/img/pdf/annual-report-2014-15.pdf,DOWNLOADED,Aavas_Financiers_Ltd.zip,
Aavas Financiers Ltd.,AAVAS Financiers Ltd,FY2015-16,2016,Official company,https://www.aavas.in/img/pdf/ar-15-16.pdf,DOWNLOADED,Aavas_Financiers_Ltd.zip,
Aavas Financiers Ltd.,AAVAS Financiers Ltd,FY2016-17,2017,Official company,https://www.aavas.in/img/pdf/Annual-Report_AAVAS-FINANCIERSAu-Housing_FY-16-17.pdf,DOWNLOADED,Aavas_Financiers_Ltd.zip,
Aavas Financiers Ltd.,AAVAS Financiers Ltd,FY2017-18,2018,Official company,https://www.aavas.in/img/pdf/Annual-Report-2017-18.pdf,DOWNLOADED,Aavas_Financiers_Ltd.zip,
Aavas Financiers Ltd.,AAVAS Financiers Ltd,FY2018-19,2019,Official company,https://www.aavas.in/img/pdf/Aavas%20Financiers%202019.pdf,DOWNLOADED,Aavas_Financiers_Ltd.zip,
Aavas Financiers Ltd.,AAVAS Financiers Ltd,FY2019-20,2020,Official company,https://www.aavas.in/img/pdf/AnnualReportFY-19-20_AavasFinanciersLimited_29062020.pdf,DOWNLOADED,Aavas_Financiers_Ltd.zip,
Aavas Financiers Ltd.,AAVAS Financiers Ltd,FY2020-21,2021,Official company,https://www.aavas.in/img/pdf/Annual%20Report%202020-21-19072021.pdf,DOWNLOADED,Aavas_Financiers_Ltd.zip,
Aavas Financiers Ltd.,AAVAS Financiers Ltd,FY2021-22,2022,Official company,https://www.aavas.in/img/pdf/Annual%20Report%20for%20the%20Financial%20Year_2021-22.pdf,DOWNLOADED,Aavas_Financiers_Ltd.zip,
