Company Name,Matched Name,Financial Year,Report End Year,Company Status,Failure Reason,Attempted URLs
Abhinav Capital Services Ltd.,Abhinav Capital Services Ltd,FY2026-27,2027,SUCCESS,response is not a valid PDF,https://www.bing.com/ck/a?!&&p=cb1486f0dbc2bf7745ef98b3cb01af884699f527ff82abd056f1282c973bb384JmltdHM9MTc4ODQ4MDAwMA&ptn=3&ver=2&hsh=4&fclid=19d0aa2b-685c-6d98-1f3c-bde169946cbc&u=a1aHR0cHM6Ly93b3JsZHNjaG9sYXJzaGlwZm9ydW0uY29tLzIwMTcyMDE4LWZ1bGx5LWZ1bmRlZC1zY2hvbGFyc2hpcHMtYXBwbHktbm93Lw&ntb=1
Ascom Leasing & Investments Ltd.,Ascom Leasing & Investments Ltd,FY2019-20,2020,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/SME_AR_17611_ASCOM_2019_2020_08092020143806_08092020145603.zip
Ascom Leasing & Investments Ltd.,Ascom Leasing & Investments Ltd,FY2020-21,2021,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/SME_AR_19266_ASCOM_2020_2021_03092021164828_09032021170017.zip
Ascom Leasing & Investments Ltd.,Ascom Leasing & Investments Ltd,FY2021-22,2022,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/SME_AR_21335_ASCOM_2021_2022_05092022152928_09052022160001.zip
Ascom Leasing & Investments Ltd.,Ascom Leasing & Investments Ltd,FY2022-23,2023,SUCCESS,response is not a valid PDF,https://archives.nseindia.com/annual_reports/SME_AR_23517_ASCOM_2022_2023_05092023171403_09052023180016.zip
Ashika Global Securities Ltd.,Ashika Global Securities Ltd.,FY2011-12,2012,SUCCESS,response is not a valid PDF,https://www.bseindia.com/bseplus/AnnualReport/543766/5901220312.pdf | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2012/ASHIKA_GLOBAL_SECURITIES-543766-MARCH-2012.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2012/ASHIKA_GLOBAL_SECURITIES_LIMITED-543766-MARCH-2012.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2012/ASHIKA_GLOBAL_SECURITIES_LTD-543766-MARCH-2012.PDF
Ashika Global Securities Ltd.,Ashika Global Securities Ltd.,FY2012-13,2013,SUCCESS,response is not a valid PDF,https://www.bseindia.com/bseplus/AnnualReport/543766/5901220313.pdf | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2013/ASHIKA_GLOBAL_SECURITIES-543766-MARCH-2013.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2013/ASHIKA_GLOBAL_SECURITIES_LIMITED-543766-MARCH-2013.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2013/ASHIKA_GLOBAL_SECURITIES_LTD-543766-MARCH-2013.PDF
Ashika Global Securities Ltd.,Ashika Global Securities Ltd.,FY2013-14,2014,SUCCESS,response is not a valid PDF,https://www.bseindia.com/bseplus/AnnualReport/543766/5901220314.pdf | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2014/ASHIKA_GLOBAL_SECURITIES-543766-MARCH-2014.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2014/ASHIKA_GLOBAL_SECURITIES_LIMITED-543766-MARCH-2014.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2014/ASHIKA_GLOBAL_SECURITIES_LTD-543766-MARCH-2014.PDF
Ashika Global Securities Ltd.,Ashika Global Securities Ltd.,FY2014-15,2015,SUCCESS,response is not a valid PDF,https://www.bseindia.com/bseplus/AnnualReport/543766/5901220315.pdf | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2015/ASHIKA_GLOBAL_SECURITIES-543766-MARCH-2015.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2015/ASHIKA_GLOBAL_SECURITIES_LIMITED-543766-MARCH-2015.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2015/ASHIKA_GLOBAL_SECURITIES_LTD-543766-MARCH-2015.PDF
Ashika Global Securities Ltd.,Ashika Global Securities Ltd.,FY2015-16,2016,SUCCESS,response is not a valid PDF,https://www.bseindia.com/bseplus/AnnualReport/543766/5901220316.pdf | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2016/ASHIKA_GLOBAL_SECURITIES-543766-MARCH-2016.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2016/ASHIKA_GLOBAL_SECURITIES_LIMITED-543766-MARCH-2016.PDF | https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2016/ASHIKA_GLOBAL_SECURITIES_LTD-543766-MARCH-2016.PDF
